customer_id,age,tenure_months,monthly_charges,total_charges,num_support_tickets,contract_type,internet_service,payment_method,gender,partner,churn
C10000,19.0,6,84.5,506.79,6,Month-to-month,Fiber optic,Credit card,Female,No,Yes
C10001,27.0,56,106.48,5951.56,4,Two year,No,Electronic check,Male,Yes,No
C10002,24.0,47,64.3,3449.02,0,One year,Fiber optic,Credit card,Female,No,No
C10003,,32,43.28,1335.41,7,One year,Fiber optic,Credit card,Female,No,No
C10004,56.0,31,42.14,1266.18,3,One year,Fiber optic,Credit card,Female,No,No
C10005,47.0,62,94.09,5981.9,2,Two year,No,Mailed check,Female,No,No
C10006,32.0,6,,539.93,7,One year,No,Electronic check,Female,No,No
C10007,23.0,50,28.74,1359.87,5,Month-to-month,DSL,Mailed check,Female,No,Yes
C10008,53.0,14,24.79,315.12,5,,Fiber optic,Credit card,Male,No,No
C10009,32.0,6,78.63,,2,Month-to-month,DSL,Electronic check,Male,No,Yes
C10010,54.0,38,32.91,1387.95,7,Month-to-month,No,Credit card,Female,Yes,Yes
C10011,60.0,71,102.12,7444.83,3,Month-to-month,Fiber optic,Electronic check,Female,Yes,No
C10012,70.0,53,49.65,2519.88,4,,Fiber optic,Electronic check,Male,No,Yes
C10013,,55,32.67,1747.62,6,,DSL,Electronic check,Female,Yes,No
C10014,18.0,52,111.94,5701.29,5,Month-to-month,DSL,Credit card,Female,Yes,No
C10015,35.0,57,34.88,2067.58,1,Month-to-month,Fiber optic,Bank transfer,Female,Yes,Yes
C10016,70.0,37,47.04,1963.32,2,Month-to-month,DSL,Mailed check,Female,Yes,No
C10017,51.0,9,33.67,342.37,2,Two year,DSL,Bank transfer,Female,No,No
C10018,56.0,61,29.78,1757.45,7,Month-to-month,No,Bank transfer,Female,No,No
C10019,46.0,32,20.16,612.08,5,One year,Fiber optic,Bank transfer,Male,Yes,Yes
C10020,,36,23.65,,2,Two year,DSL,Bank transfer,Male,Yes,No
C10021,73.0,27,35.81,986.58,5,Month-to-month,DSL,Electronic check,Female,Yes,Yes
C10022,65.0,13,23.44,301.23,5,One year,No,Mailed check,Male,Yes,Yes
C10023,79.0,67,78.3,5495.95,3,Month-to-month,Fiber optic,Bank transfer,Male,No,Yes
C10024,71.0,57,87.43,5064.84,3,Month-to-month,Fiber optic,Electronic check,Female,No,Yes
C10025,36.0,47,58.15,2586.05,7,One year,,Mailed check,Female,No,Yes
C10026,33.0,29,50.44,1395.06,4,Two year,DSL,Electronic check,Male,No,No
C10027,33.0,60,69.46,4015.81,1,Month-to-month,DSL,Credit card,Female,No,No
C10028,74.0,39,107.25,3674.09,5,One year,Fiber optic,Electronic check,Female,No,No
C10029,52.0,32,104.82,,4,Month-to-month,DSL,Electronic check,Female,No,No
C10030,46.0,32,22.43,765.8,4,One year,DSL,Bank transfer,Female,Yes,No
C10031,78.0,16,36.51,564.72,5,One year,Fiber optic,Electronic check,Female,Yes,Yes
C10032,55.0,6,42.15,231.24,7,One year,No,Mailed check,Female,No,Yes
C10033,74.0,40,43.44,1770.27,2,One year,,Mailed check,Female,Yes,No
C10034,79.0,64,76.27,5255.49,3,,Fiber optic,Electronic check,Male,Yes,Yes
C10035,22.0,4,60.46,224.24,1,One year,Fiber optic,Credit card,Female,No,Yes
C10036,40.0,62,23.02,1567.16,5,One year,Fiber optic,Bank transfer,Male,No,Yes
